actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2022-01-01 09:34:33+00
2,NICK,WAHLBERG,2022-01-01 09:34:33+00
3,ED,CHASE,2022-01-01 09:34:33+00
4,JENNIFER,DAVIS,2022-01-01 09:34:33+00
5,JOHNNY,LOLLOBRIGIDA,2022-01-01 09:34:33+00
6,BETTE,NICHOLSON,2022-01-01 09:34:33+00
7,GRACE,MOSTEL,2022-01-01 09:34:33+00
8,MATTHEW,JOHANSSON,2022-01-01 09:34:33+00
9,JOE,SWANK,2022-01-01 09:34:33+00
10,CHRISTIAN,GABLE,2022-01-01 09:34:33+00
11,ZERO,CAGE,2022-01-01 09:34:33+00
12,KARL,BERRY,2022-01-01 09:34:33+00
13,UMA,WOOD,2022-01-01 09:34:33+00
14,VIVIEN,BERGEN,2022-01-01 09:34:33+00
15,CUBA,OLIVIER,2022-01-01 09:34:33+00
16,FRED,COSTNER,2022-01-01 09:34:33+00
17,HELEN,VOIGHT,2022-01-01 09:34:33+00
18,DAN,TORN,2022-01-01 09:34:33+00
19,BOB,FAWCETT,2022-01-01 09:34:33+00
20,LUCILLE,TRACY,2022-01-01 09:34:33+00
21,KIRSTEN,PALTROW,2022-01-01 09:34:33+00
22,ELVIS,MARX,2022-01-01 09:34:33+00
23,SANDRA,KILMER,2022-01-01 09:34:33+00
24,CAMERON,STREEP,2022-01-01 09:34:33+00
25,KEVIN,BLOOM,2022-01-01 09:34:33+00
26,RIP,CRAWFORD,2022-01-01 09:34:33+00
27,JULIA,MCQUEEN,2022-01-01 09:34:33+00
28,WOODY,HOFFMAN,2022-01-01 09:34:33+00
29,ALEC,WAYNE,2022-01-01 09:34:33+00
30,SANDRA,PECK,2022-01-01 09:34:33+00
31,SISSY,SOBIESKI,2022-01-01 09:34:33+00
32,TIM,HACKMAN,2022-01-01 09:34:33+00
33,MILLA,PECK,2022-01-01 09:34:33+00
34,AUDREY,OLIVIER,2022-01-01 09:34:33+00
35,JUDY,DEAN,2022-01-01 09:34:33+00
36,BURT,DUKAKIS,2022-01-01 09:34:33+00
37,VAL,BOLGER,2022-01-01 09:34:33+00
38,TOM,MCKELLEN,2022-01-01 09:34:33+00
39,GOLDIE,BRODY,2022-01-01 09:34:33+00
40,JOHNNY,CAGE,2022-01-01 09:34:33+00
41,JODIE,DEGENERES,2022-01-01 09:34:33+00
42,TOM,MIRANDA,2022-01-01 09:34:33+00
43,KIRK,JOVOVICH,2022-01-01 09:34:33+00
44,NICK,STALLONE,2022-01-01 09:34:33+00
45,REESE,KILMER,2022-01-01 09:34:33+00
46,PARKER,GOLDBERG,2022-01-01 09:34:33+00
47,JULIA,BARRYMORE,2022-01-01 09:34:33+00
48,FRANCES,DAY-LEWIS,2022-01-01 09:34:33+00
49,ANNE,CRONYN,2022-01-01 09:34:33+00
50,NATALIE,HOPKINS,2022-01-01 09:34:33+00
51,GARY,PHOENIX,2022-01-01 09:34:33+00
52,CARMEN,HUNT,2022-01-01 09:34:33+00
53,MENA,TEMPLE,2022-01-01 09:34:33+00
54,PENELOPE,PINKETT,2022-01-01 09:34:33+00
55,FAY,KILMER,2022-01-01 09:34:33+00
56,DAN,HARRIS,2022-01-01 09:34:33+00
57,JUDE,CRUISE,2022-01-01 09:34:33+00
58,CHRISTIAN,AKROYD,2022-01-01 09:34:33+00
59,DUSTIN,TAUTOU,2022-01-01 09:34:33+00
60,HENRY,BERRY,2022-01-01 09:34:33+00
61,CHRISTIAN,NEESON,2022-01-01 09:34:33+00
62,JAYNE,NEESON,2022-01-01 09:34:33+00
63,CAMERON,WRAY,2022-01-01 09:34:33+00
64,RAY,JOHANSSON,2022-01-01 09:34:33+00
65,ANGELA,HUDSON,2022-01-01 09:34:33+00
66,MARY,TANDY,2022-01-01 09:34:33+00
67,JESSICA,BAILEY,2022-01-01 09:34:33+00
68,RIP,WINSLET,2022-01-01 09:34:33+00
69,KENNETH,PALTROW,2022-01-01 09:34:33+00
70,MICHELLE,MCCONAUGHEY,2022-01-01 09:34:33+00
71,ADAM,GRANT,2022-01-01 09:34:33+00
