payment_id,customer_id,staff_id,rental_id,amount,payment_date
16064,273,2,980,0.99,2022-01-07 20:13:45.996577+00
16070,274,1,892,4.99,2022-01-07 06:31:22.996577+00
16073,276,1,860,10.99,2022-01-07 01:13:42.996577+00
16076,279,1,979,2.99,2022-01-07 20:05:37.996577+00
16090,287,2,964,2.99,2022-01-07 17:21:47.996577+00
16101,293,1,924,4.99,2022-01-07 10:39:25.996577+00
16107,296,1,869,4.99,2022-01-07 02:50:32.996577+00
16108,296,2,956,2.99,2022-01-07 15:58:54.996577+00
16110,297,1,954,3.99,2022-01-07 15:25:55.996577+00
16119,301,1,955,0.99,2022-01-07 15:27:29.996577+00
16123,303,1,871,2.99,2022-01-07 03:29:56.996577+00
16127,304,2,937,2.99,2022-01-07 13:15:57.996577+00
16134,307,1,970,6.99,2022-01-07 18:18:54.996577+00
16141,311,1,952,2.99,2022-01-07 14:56:33.996577+00
16142,311,2,990,3.99,2022-01-07 21:53:40.996577+00
16171,323,1,878,5.99,2022-01-07 04:17:39.996577+00
16174,326,1,875,6.99,2022-01-07 04:06:50.996577+00
16175,326,2,981,4.99,2022-01-07 20:21:08.996577+00
16178,328,2,862,2.99,2022-01-07 01:37:37.996577+00
16180,330,2,967,7.99,2022-01-07 17:40:32.996577+00
16182,331,1,996,2.99,2022-01-07 22:34:46.996577+00
16184,332,1,1000,6.99,2022-01-07 22:54:22.996577+00
16192,339,1,876,5.99,2022-01-07 04:09:48.996577+00
16203,349,1,890,4.99,2022-01-07 06:11:30.996577+00
16216,357,2,945,0.99,2022-01-07 14:01:43.996577+00
16217,358,2,858,4.99,2022-01-07 00:38:58.996577+00
16230,366,2,911,6.99,2022-01-07 09:18:48.996577+00
16231,367,1,939,0.99,2022-01-07 13:18:00.996577+00
16236,368,1,949,2.99,2022-01-07 14:19:05.996577+00
16239,369,2,854,0.99,2022-01-07 00:24:37.996577+00
16240,369,2,913,7.99,2022-01-07 09:33:24.996577+00
16251,374,2,910,2.99,2022-01-07 09:14:42.996577+00
16252,374,2,919,0.99,2022-01-07 10:03:32.996577+00
16256,375,1,873,2.99,2022-01-07 03:43:46.996577+00
16260,379,1,863,4.99,2022-01-07 01:43:25.996577+00
16271,384,1,898,0.99,2022-01-07 07:54:45.996577+00
16273,385,1,917,2.99,2022-01-07 09:55:32.996577+00
16282,389,1,998,4.99,2022-01-07 22:45:23.996577+00
16284,390,2,912,4.99,2022-01-07 09:26:59.996577+00
16288,391,2,870,2.99,2022-01-07 02:54:13.996577+00
16289,391,1,891,7.99,2022-01-07 06:11:38.996577+00
16291,393,2,886,0.99,2022-01-07 05:23:17.996577+00
