rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
12850,2022-03-29 01:08:06+00,1816,440,2005-08-20 20:06:06+00,2,2022-03-29 01:08:06+00
12851,2022-03-29 01:12:12+00,3311,194,2005-08-25 22:51:12+00,1,2022-03-29 01:12:12+00
12852,2022-03-29 01:12:40+00,2446,260,2005-08-19 22:42:40+00,1,2022-03-29 01:12:40+00
12853,2022-03-29 01:15:32+00,3753,232,2005-08-27 20:26:32+00,2,2022-03-29 01:15:32+00
12854,2022-03-29 01:18:51+00,4577,362,2005-08-24 03:16:51+00,2,2022-03-29 01:18:51+00
12958,2022-03-29 05:19:21+00,4214,569,2005-08-20 01:21:21+00,1,2022-03-29 05:19:21+00
12960,2022-03-29 05:21:52+00,3498,152,2005-08-25 03:16:52+00,1,2022-03-29 05:21:52+00
12961,2022-03-29 05:22:37+00,4529,386,2005-08-22 23:49:37+00,1,2022-03-29 05:22:37+00
12962,2022-03-29 05:22:48+00,575,171,2005-08-27 06:47:48+00,1,2022-03-29 05:22:48+00
12963,2022-03-29 05:26:04+00,1521,2,2005-08-23 10:37:04+00,2,2022-03-29 05:26:04+00
12964,2022-03-29 05:29:13+00,2854,142,2005-08-22 11:23:13+00,2,2022-03-29 05:29:13+00
13066,2022-03-29 08:50:39+00,3730,336,2005-08-22 13:01:39+00,1,2022-03-29 08:50:39+00
13067,2022-03-29 08:51:17+00,3825,172,2005-08-25 08:58:17+00,2,2022-03-29 08:51:17+00
13068,2022-03-29 08:55:16+00,3019,1,2005-08-20 13:44:16+00,2,2022-03-29 08:55:16+00
13069,2022-03-29 08:55:20+00,368,299,2005-08-24 03:10:20+00,2,2022-03-29 08:55:20+00
13173,2022-03-29 12:50:36+00,1304,29,2005-08-26 11:34:36+00,2,2022-03-29 12:50:36+00
13174,2022-03-29 12:52:50+00,2303,482,2005-08-22 13:43:50+00,2,2022-03-29 12:52:50+00
13175,2022-03-29 12:54:53+00,3187,239,2005-08-20 15:25:53+00,2,2022-03-29 12:54:53+00
13176,2022-03-29 12:56:54+00,2269,1,2005-08-23 07:50:54+00,2,2022-03-29 12:56:54+00
13281,2022-03-29 17:07:47+00,113,220,2005-08-20 20:51:47+00,2,2022-03-29 17:07:47+00
13282,2022-03-29 17:08:18+00,4373,59,2005-08-24 13:08:18+00,1,2022-03-29 17:08:18+00
13283,2022-03-29 17:10:19+00,2602,180,2005-08-23 15:09:19+00,2,2022-03-29 17:10:19+00
